trade_id,strategy,book,entry_time,exit_time,lots,lot_size,calculated_pnl,reported_final_pnl
2026-02-18T14:01:15.819239,CALL_BACKSPREAD,CONVEX,2026-02-18T14:03:22.717705,2026-02-18T14:27:26.664948,20,65,260.0,-6045.0
2026-02-18T14:10:12.608769,CALL_BACKSPREAD,CONVEX,2026-02-18T14:12:58.162977,2026-02-18T14:37:00.931220,20,65,-130.0,-5232.5
2026-02-18T14:22:09.900251,CALL_BACKSPREAD,CONVEX,2026-02-18T14:25:18.158727,2026-02-18T14:48:37.030503,20,65,130.0,-2047.5
2026-02-18T14:31:48.040677,CALL_BACKSPREAD,CONVEX,2026-02-18T14:34:29.057317,2026-02-18T15:00:56.205093,20,65,-942.5,-3737.5
2026-02-18T14:42:33.752945,CALL_BACKSPREAD,CONVEX,2026-02-18T14:46:08.872886,2026-02-18T15:12:59.835135,20,65,357.5,-5752.5
2026-02-18T14:56:11.013401,CALL_BACKSPREAD,CONVEX,2026-02-18T14:58:44.445257,2026-02-18T15:23:32.785477,20,65,-357.5,-2275.0
2026-02-18T15:06:51.579197,CALL_BACKSPREAD,CONVEX,2026-02-18T15:10:02.337740,2026-02-19T10:10:02.962499,20,65,-1300.0,3217.5
2026-02-18T15:18:41.943871,CALL_BACKSPREAD,CONVEX,2026-02-18T15:21:19.729319,2026-02-19T10:16:41.023024,20,65,-195.0,20215.0
2026-02-18T15:28:50.493281,CALL_BACKSPREAD,CONVEX,2026-02-18T15:31:20.571932,2026-02-19T10:22:36.929552,20,65,520.0,10205.0
2026-02-19T10:13:39.481994,CALL_BACKSPREAD,CONVEX,2026-02-19T10:15:20.383901,2026-02-19T10:29:27.574453,20,65,520.0,8840.0
2026-02-19T10:19:48.669493,CALL_BACKSPREAD,CONVEX,2026-02-19T10:21:24.028288,2026-02-19T10:36:13.077069,20,65,65.0,6532.5
2026-02-19T10:26:24.941251,CALL_BACKSPREAD,CONVEX,2026-02-19T10:28:04.895467,2026-02-19T10:42:46.040043,20,65,-32.5,7215.0
2026-02-19T10:33:44.935678,CALL_BACKSPREAD,CONVEX,2026-02-19T10:35:08.442428,2026-02-19T10:49:33.546696,20,65,1170.0,8937.5
2026-02-19T10:39:25.342462,CALL_BACKSPREAD,CONVEX,2026-02-19T10:41:25.846315,2026-02-19T10:56:35.279216,20,65,65.0,-1852.5
2026-02-19T10:46:28.751346,CALL_BACKSPREAD,CONVEX,2026-02-19T10:48:14.373699,2026-02-19T11:02:25.237489,20,65,585.0,-3250.0
2026-02-19T10:53:15.803758,CALL_BACKSPREAD,CONVEX,2026-02-19T10:55:05.431579,2026-02-19T11:08:08.183845,20,65,0.0,-4777.5
2026-02-19T10:59:58.978177,CALL_BACKSPREAD,CONVEX,2026-02-19T11:01:21.883595,2026-02-19T11:13:30.639174,20,65,-227.5,130.0
2026-02-19T11:05:32.977012,CALL_BACKSPREAD,CONVEX,2026-02-19T11:07:03.087551,2026-02-19T11:19:03.784920,20,65,-130.0,6825.0
2026-02-19T11:11:05.781272,CALL_BACKSPREAD,CONVEX,2026-02-19T11:12:26.018439,2026-02-19T11:24:30.215543,20,65,227.5,13000.0
2026-02-19T11:16:37.920334,CALL_BACKSPREAD,CONVEX,2026-02-19T11:17:59.150061,2026-02-19T11:30:03.856294,20,65,260.0,8092.5
2026-02-19T11:22:02.615544,CALL_BACKSPREAD,CONVEX,2026-02-19T11:23:24.693244,2026-02-19T11:35:21.045339,20,65,195.0,7052.5
2026-02-19T11:27:40.066991,CALL_BACKSPREAD,CONVEX,2026-02-19T11:29:01.458899,2026-02-19T11:41:22.079372,20,65,-292.5,845.0
2026-02-19T11:32:57.851013,CALL_BACKSPREAD,CONVEX,2026-02-19T11:34:17.437902,2026-02-19T11:47:10.245783,20,65,-65.0,6467.5
