week,expiry,pcr,signal,spot,atm,short,long,credit,exit,stop,pnl_pts,pnl_inr,note
2025-08-25,2025-08-28,0.49,BEAR_CALL,55139,55100,55200,55400,95.8,0.0,,+95.8,"+2,872",
2025-09-01,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-09-08,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-09-15,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-09-22,2025-09-30,0.95,SKIP,—,—,—,—,—,—,,—,—,
2025-09-29,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-10-06,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-10-13,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-10-20,2025-10-28,1.13,SKIP,—,—,—,—,—,—,,—,—,
2025-10-27,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-11-03,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-11-10,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-11-17,2025-11-25,1.14,SKIP,—,—,—,—,—,—,,—,—,
2025-11-24,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-12-01,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-12-08,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-12-15,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-12-22,2025-12-30,0.80,SKIP,—,—,—,—,—,—,,—,—,
2025-12-29,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2026-01-05,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
